,Angra dos Reis,Aparecida,Arapei,Areias,Atibaia,Bananal,Braganca Paulista,Cacapava,Cachoeira Paulista,Campos do Jordao,Canas,Caraguatatuba,Cruzeiro,Cunha,Extrema,Guaratingueta,Guarulhos,Igarata,Ilhabela,Itajuba,Itatiaia,Jacarei,Jambeiro,Lagoinha,Lorena,Mogi das Cruzes,Monteiro Lobato,Natividade da Serra,Paraibuna,Paraisopolis,Paraty,Pindamonhangaba,Piquete,Porto Real,Potim,Queluz,Redencao da Serra,Roseira,Santa Branca,Santo Antonio do Pinhal,Sao Jose dos Campos,Sao Luiz do Paraitinga,Silveiras,Suzano,Sao Bento do Sapucai,Sao Jose do Barreiro,Sao Sebastiao,Taubate,Tremembe,Ubatuba
Monteiro Lobato,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,0,0,0,25,0,0,0,0,0
Natividade da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,59,0,0,0,0,0,0,0,0
Paraibuna,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,35,0,30,0,0,0,0,0,0,0,0,0
Paraisopolis,0,0,0,0,0,0,0,0,0,49,0,0,0,0,86,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,20,0,0,0,0,0
Paraty,97,0,0,0,0,0,0,0,0,0,0,0,0,46,0,97,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Pindamonhangaba,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,0,0,0,0,0,0,0,15,0,0
Piquete,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porto Real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potim,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queluz,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
